ruangan,penghuni,jarak_meter
Ruang_Balsam,68,45.42
Ruang_Coreopsis,57,13.45
Ruang_Echinacea,43,45.03
Ruang_ForgetMeNot,64,28.49
Ruang_Gazania,42,17.52
Ruang_Jacaranda,49,23.55
Ruang_Lantana,55,33.96
Ruang_MorningGlory,53,14.97
Ruang_Nemesia,58,14.98
Ruang_Oxalis,63,28.01
Ruang_Plumeria,58,27.81
Ruang_Statice,37,6.1
Ruang_Verbascum,45,47.99
Ruang_Waterlily,44,20.01
Ruang_ZebraPlant,34,8.75
Ruang_Melati,51,10.76
Ruang_Mawar,31,19.55
Ruang_Anggrek,67,20.37
Ruang_Tulip,65,22.48
Ruang_Matahari,44,13.0
Ruang_Lili,67,42.21
Ruang_Kamboja,44,9.04
Ruang_Kenanga,30,48.13
Ruang_Dahlia,34,35.66
Ruang_Teratai,70,45.39
Ruang_Flamboyan,33,12.41
Ruang_Kana,44,10.19
Ruang_Bougenvil,34,7.18
Ruang_Anyelir,32,33.02
Ruang_Krisan,51,32.55
Ruang_Lavender,34,28.79
Ruang_Sakura,62,48.31
Ruang_Azalea,45,8.26
Ruang_Gardenia,47,43.87
Ruang_Iris,61,16.71
Ruang_Peony,43,23.42
Ruang_Begonia,64,48.82
Ruang_Magnolia,38,28.91
Ruang_Camelia,66,27.98
Ruang_Zinnia,66,45.73
Ruang_Aster,60,19.49
Ruang_Jasmine,45,9.1
Ruang_Hydrangea,60,11.7
Ruang_Freesia,56,40.25
Ruang_Poppy,42,46.44
Ruang_Ranunculus,36,27.08
Ruang_Marigold,36,13.4
Ruang_Verbena,57,23.82
Ruang_Petunia,52,18.04
Ruang_Geranium,57,44.72
Ruang_Cosmos,56,18.95
Ruang_Edelweis,59,13.89
Ruang_Bromelia,33,5.7
Ruang_Heliconia,36,8.92
Ruang_Cempaka,33,48.6
Ruang_Wijayakusuma,55,35.14
Ruang_SedapMalam,51,37.98
Ruang_TapakDara,36,15.31
Ruang_PacarAir,45,29.87
Ruang_BungaSepatu,42,10.99
Ruang_Asoka,42,24.19
Ruang_NusaIndah,64,40.02
Ruang_Kantil,58,15.8
Ruang_Kecubung,38,45.96
Ruang_Soka,57,17.9
Ruang_Lotus,41,29.4
Ruang_Bluebell,47,45.32
Ruang_Daffodil,59,28.0
Ruang_Foxglove,45,42.57
Ruang_Hibiscus,34,34.5
Ruang_Lilac,58,40.74
Ruang_Narcissus,65,5.49
Ruang_Oleander,36,25.36
Ruang_Primrose,33,35.9
Ruang_Snapdragon,64,44.09
Ruang_Wisteria,30,21.01
Ruang_Yarrow,35,38.9
Ruang_Amaryllis,45,36.12
Ruang_Anemone,40,11.0
Ruang_Buttercup,56,13.85
Ruang_Carnation,61,9.95
Ruang_Delphinium,60,21.35
Ruang_Gladiol,43,44.54
Ruang_Heather,55,26.53
Ruang_Honeysuckle,33,45.63
Ruang_Impatiens,40,19.09
Ruang_Larkspur,54,41.41
Ruang_Mimosa,30,20.06
Ruang_Orchid,54,21.65
Ruang_Periwinkle,46,18.98
Ruang_QueenAnne,59,37.92
Ruang_Rhododendron,48,16.25
Ruang_Sunflower,57,29.88
Ruang_Tuberose,65,28.14
Ruang_Violet,61,46.52
Ruang_Wallflower,39,17.92
Ruang_Xeranthemum,42,49.99
Ruang_YuccaBloom,48,12.98
Ruang_Zephyranthes,43,5.61
Ruang_AcaciaBloom,33,34.07
Ruang_Balsam,67,10.41
Ruang_Coreopsis,64,23.01
Ruang_Echinacea,33,47.54
Ruang_ForgetMeNot,50,36.21
Ruang_Gazania,33,46.61
Ruang_Jacaranda,33,23.12
Ruang_Lantana,67,25.78
Ruang_MorningGlory,60,49.72
Ruang_Nemesia,62,46.42
Ruang_Oxalis,63,9.45
Ruang_Plumeria,40,24.62
Ruang_Statice,33,16.9
Ruang_Verbascum,62,36.99
Ruang_Waterlily,35,10.51
Ruang_ZebraPlant,41,31.32
Ruang_Melati,34,33.14
Ruang_Mawar,68,32.99
Ruang_Anggrek,34,7.75
Ruang_Tulip,45,24.21
Ruang_Matahari,55,49.92
Ruang_Lili,37,47.35
Ruang_Kamboja,66,48.1
Ruang_Kenanga,45,9.77
Ruang_Dahlia,67,37.84
Ruang_Teratai,68,44.31
Ruang_Flamboyan,32,35.87
Ruang_Kana,69,20.02
Ruang_Bougenvil,35,5.59
Ruang_Anyelir,56,33.68
Ruang_Krisan,67,47.24
Ruang_Lavender,66,46.82
Ruang_Sakura,63,27.77
Ruang_Azalea,50,33.46
Ruang_Gardenia,46,40.08
Ruang_Iris,43,45.65
Ruang_Peony,50,36.14
Ruang_Begonia,45,14.12
Ruang_Magnolia,46,20.89
Ruang_Camelia,55,27.47
Ruang_Zinnia,38,42.85
Ruang_Aster,49,42.35
Ruang_Jasmine,59,10.42
Ruang_Hydrangea,50,10.48
Ruang_Freesia,34,22.56
Ruang_Poppy,30,42.73
Ruang_Ranunculus,59,33.6
Ruang_Marigold,69,22.67
Ruang_Verbena,66,31.28
Ruang_Petunia,36,12.58
Ruang_Geranium,34,12.09
Ruang_Cosmos,64,10.1
Ruang_Edelweis,43,48.96
Ruang_Bromelia,62,14.63
Ruang_Heliconia,46,17.32
Ruang_Cempaka,38,9.34
Ruang_Wijayakusuma,52,41.24
Ruang_SedapMalam,34,29.22
Ruang_TapakDara,45,41.79
Ruang_PacarAir,53,9.46
Ruang_BungaSepatu,48,47.93
Ruang_Asoka,40,40.11
Ruang_NusaIndah,58,30.77
Ruang_Kantil,64,26.63
Ruang_Kecubung,49,39.67
Ruang_Soka,69,46.18
Ruang_Lotus,63,26.51
Ruang_Bluebell,30,48.94
Ruang_Daffodil,65,48.25
Ruang_Foxglove,49,21.41
Ruang_Hibiscus,36,32.01
Ruang_Lilac,38,39.65
Ruang_Narcissus,46,39.24
Ruang_Oleander,37,12.11
Ruang_Primrose,36,12.87
Ruang_Snapdragon,65,31.45
Ruang_Wisteria,39,33.75
Ruang_Yarrow,47,11.5
Ruang_Amaryllis,48,7.25
Ruang_Anemone,68,34.24
Ruang_Buttercup,43,20.69
Ruang_Carnation,51,32.65
Ruang_Delphinium,43,29.5
Ruang_Gladiol,70,34.49
Ruang_Heather,46,24.37
Ruang_Honeysuckle,62,14.48
Ruang_Impatiens,61,31.85
Ruang_Larkspur,46,13.98
Ruang_Mimosa,33,15.35
Ruang_Orchid,35,22.96
Ruang_Periwinkle,70,41.41
Ruang_QueenAnne,57,22.01
Ruang_Rhododendron,47,7.32
Ruang_Sunflower,32,45.99
Ruang_Tuberose,30,46.05
Ruang_Violet,51,18.04
Ruang_Wallflower,38,40.44
Ruang_Xeranthemum,70,34.45
Ruang_YuccaBloom,46,24.45
Ruang_Zephyranthes,40,40.82
Ruang_AcaciaBloom,58,19.04
Ruang_Balsam,65,30.07
Ruang_Coreopsis,57,43.23
Ruang_Echinacea,65,27.76
Ruang_ForgetMeNot,30,43.94
Ruang_Gazania,37,31.09
Ruang_Jacaranda,34,47.6
Ruang_Lantana,39,36.66
Ruang_MorningGlory,64,5.32
Ruang_Nemesia,32,27.45
Ruang_Oxalis,53,33.53
Ruang_Plumeria,67,46.01
Ruang_Statice,65,9.38
Ruang_Verbascum,39,47.15
Ruang_Waterlily,57,39.06
Ruang_ZebraPlant,38,39.84
Ruang_Melati,32,18.67
Ruang_Mawar,49,6.28
Ruang_Anggrek,53,49.22
Ruang_Tulip,32,40.77
Ruang_Matahari,52,30.91
Ruang_Lili,43,11.78
Ruang_Kamboja,45,5.55
Ruang_Kenanga,36,32.83
Ruang_Dahlia,52,23.92
Ruang_Teratai,65,48.33
Ruang_Flamboyan,56,15.74
Ruang_Kana,69,27.12
Ruang_Bougenvil,39,41.03
Ruang_Anyelir,45,21.34
Ruang_Krisan,40,44.21
Ruang_Lavender,41,14.11
Ruang_Sakura,56,19.18
Ruang_Azalea,31,9.58
Ruang_Gardenia,41,8.86
Ruang_Iris,51,26.44
Ruang_Peony,56,8.19
Ruang_Begonia,45,34.54
Ruang_Magnolia,47,41.1
Ruang_Camelia,40,8.63
Ruang_Zinnia,36,27.92
Ruang_Aster,54,14.32
Ruang_Jasmine,32,6.0
Ruang_Hydrangea,60,29.9
Ruang_Freesia,44,15.67
Ruang_Poppy,42,46.02
Ruang_Ranunculus,59,13.51
Ruang_Marigold,52,12.15
Ruang_Verbena,49,45.01
Ruang_Petunia,44,15.04
Ruang_Geranium,44,26.28
Ruang_Cosmos,31,16.25
Ruang_Edelweis,42,30.68
Ruang_Bromelia,55,49.28
Ruang_Heliconia,51,40.46
Ruang_Cempaka,47,17.03
Ruang_Wijayakusuma,34,17.26
Ruang_SedapMalam,47,45.9
Ruang_TapakDara,52,29.91
Ruang_PacarAir,62,49.51
Ruang_BungaSepatu,55,26.14
Ruang_Asoka,64,23.09
Ruang_NusaIndah,51,17.07
Ruang_Kantil,31,34.22
Ruang_Kecubung,37,41.9
Ruang_Soka,46,29.53
Ruang_Lotus,41,40.71
Ruang_Bluebell,67,46.28
Ruang_Daffodil,46,34.84
Ruang_Foxglove,32,18.01
Ruang_Hibiscus,36,10.61
Ruang_Lilac,68,38.08
Ruang_Narcissus,57,44.48
Ruang_Oleander,52,10.2
Ruang_Primrose,50,6.96
Ruang_Snapdragon,57,42.89
Ruang_Wisteria,68,22.92
Ruang_Yarrow,62,17.04
Ruang_Amaryllis,37,22.71
Ruang_Anemone,54,16.3
Ruang_Buttercup,66,24.35
Ruang_Carnation,42,9.56
Ruang_Delphinium,46,49.71
Ruang_Gladiol,32,7.9
Ruang_Heather,57,28.66
Ruang_Honeysuckle,30,31.51
Ruang_Impatiens,63,31.15
Ruang_Larkspur,64,26.7
Ruang_Mimosa,42,24.96
Ruang_Orchid,53,42.63
Ruang_Periwinkle,57,18.26
Ruang_QueenAnne,34,34.14
Ruang_Rhododendron,51,19.25
Ruang_Sunflower,69,25.57
Ruang_Tuberose,50,26.74
Ruang_Violet,37,15.71
Ruang_Wallflower,49,14.46
Ruang_Xeranthemum,62,38.2
Ruang_YuccaBloom,49,20.63
Ruang_Zephyranthes,56,20.3
Ruang_AcaciaBloom,50,37.15
Ruang_Balsam,55,10.05
Ruang_Coreopsis,48,22.69
Ruang_Echinacea,65,17.86
Ruang_ForgetMeNot,38,46.62
Ruang_Gazania,42,7.78
Ruang_Jacaranda,56,44.76
Ruang_Lantana,54,19.84
Ruang_MorningGlory,41,16.29
Ruang_Nemesia,69,22.43
Ruang_Oxalis,66,21.35
Ruang_Plumeria,49,46.04
Ruang_Statice,55,46.7
Ruang_Verbascum,65,29.09
Ruang_Waterlily,30,43.62
Ruang_ZebraPlant,49,30.65
Ruang_Melati,48,37.65
Ruang_Mawar,43,28.59
Ruang_Anggrek,57,21.03
Ruang_Tulip,67,8.32
Ruang_Matahari,68,29.3
Ruang_Lili,50,34.2
Ruang_Kamboja,59,32.36
Ruang_Kenanga,58,15.47
Ruang_Dahlia,58,49.86
Ruang_Teratai,43,33.13
Ruang_Flamboyan,62,25.86
Ruang_Kana,60,5.07
Ruang_Bougenvil,40,18.62
Ruang_Anyelir,35,36.1
Ruang_Krisan,48,32.64
Ruang_Lavender,62,5.4
Ruang_Sakura,70,40.29
Ruang_Azalea,69,28.19
Ruang_Gardenia,51,5.3
Ruang_Iris,35,27.14
Ruang_Peony,45,23.16
Ruang_Begonia,49,31.1
Ruang_Magnolia,44,31.72
Ruang_Camelia,42,9.99
Ruang_Zinnia,39,18.66
Ruang_Aster,31,32.03
Ruang_Jasmine,32,27.42
Ruang_Hydrangea,45,12.89
Ruang_Freesia,60,16.15
Ruang_Poppy,69,38.68
Ruang_Ranunculus,34,21.17
Ruang_Marigold,59,45.56
Ruang_Verbena,56,39.93
Ruang_Petunia,70,14.68
Ruang_Geranium,66,21.03
Ruang_Cosmos,42,8.36
Ruang_Edelweis,54,32.03
Ruang_Bromelia,61,9.24
Ruang_Heliconia,55,13.75
Ruang_Cempaka,45,43.94
Ruang_Wijayakusuma,39,21.15
Ruang_SedapMalam,30,11.97
Ruang_TapakDara,36,5.59
Ruang_PacarAir,57,36.28
Ruang_BungaSepatu,44,44.29
Ruang_Asoka,41,21.38
Ruang_NusaIndah,63,17.69
Ruang_Kantil,59,33.58
Ruang_Kecubung,33,47.35
Ruang_Soka,65,49.75
Ruang_Lotus,45,44.81
Ruang_Bluebell,37,19.45
Ruang_Daffodil,59,35.37
Ruang_Foxglove,38,8.38
Ruang_Hibiscus,59,18.56
Ruang_Lilac,63,26.79
Ruang_Narcissus,65,26.85
Ruang_Oleander,68,7.43
Ruang_Primrose,50,28.5
Ruang_Snapdragon,58,31.32
Ruang_Wisteria,69,48.57
Ruang_Yarrow,62,9.31
Ruang_Amaryllis,57,35.56
Ruang_Anemone,65,6.89
Ruang_Buttercup,58,16.04
Ruang_Carnation,40,13.48
Ruang_Delphinium,60,38.38
Ruang_Gladiol,58,5.69
Ruang_Heather,46,43.08
Ruang_Honeysuckle,45,48.85
Ruang_Impatiens,70,27.34
Ruang_Larkspur,47,22.28
Ruang_Mimosa,63,45.83
Ruang_Orchid,61,14.28
Ruang_Periwinkle,70,15.42
Ruang_QueenAnne,45,48.25
Ruang_Rhododendron,47,21.83
Ruang_Sunflower,58,41.01
Ruang_Tuberose,34,14.34
Ruang_Violet,48,39.55
Ruang_Wallflower,45,16.2
Ruang_Xeranthemum,47,10.85
Ruang_YuccaBloom,51,44.4
Ruang_Zephyranthes,50,36.69
Ruang_AcaciaBloom,64,18.88
Ruang_Balsam,35,36.21
Ruang_Coreopsis,38,32.93
Ruang_Echinacea,39,19.68
Ruang_ForgetMeNot,44,11.37
Ruang_Gazania,54,36.87
Ruang_Jacaranda,39,40.36
Ruang_Lantana,43,23.57
Ruang_MorningGlory,34,39.06
Ruang_Nemesia,56,22.48
Ruang_Oxalis,56,34.54
Ruang_Plumeria,51,44.89
Ruang_Statice,64,49.79
Ruang_Verbascum,59,46.32
Ruang_Waterlily,56,18.41
Ruang_ZebraPlant,33,18.07
Ruang_Melati,43,16.07
Ruang_Mawar,56,33.26
Ruang_Anggrek,54,33.19
Ruang_Tulip,67,46.28
Ruang_Matahari,31,9.97
Ruang_Lili,66,45.92
Ruang_Kamboja,54,26.78
Ruang_Kenanga,60,27.48
Ruang_Dahlia,30,21.44
Ruang_Teratai,52,21.01
Ruang_Flamboyan,49,40.18
Ruang_Kana,54,43.19
Ruang_Bougenvil,56,11.04
Ruang_Anyelir,64,35.32
Ruang_Krisan,64,34.84
Ruang_Lavender,68,9.84
Ruang_Sakura,44,10.6
Ruang_Azalea,61,44.37
Ruang_Gardenia,44,48.11
Ruang_Iris,47,30.17
Ruang_Peony,57,22.87
Ruang_Begonia,61,43.91
Ruang_Magnolia,31,44.76
Ruang_Camelia,54,35.08
Ruang_Zinnia,51,49.68
Ruang_Aster,55,47.19
Ruang_Jasmine,40,11.52
Ruang_Hydrangea,59,5.92
Ruang_Freesia,38,32.38
Ruang_Poppy,69,44.23
Ruang_Ranunculus,64,36.95
Ruang_Marigold,31,18.77
Ruang_Verbena,55,40.47
Ruang_Petunia,67,22.33
Ruang_Geranium,66,42.8
Ruang_Cosmos,31,12.88
Ruang_Edelweis,35,36.36
Ruang_Bromelia,57,33.18
Ruang_Heliconia,38,33.82
Ruang_Cempaka,59,23.87
Ruang_Wijayakusuma,41,36.79
Ruang_SedapMalam,33,40.97
Ruang_TapakDara,46,29.51
Ruang_PacarAir,54,44.66
Ruang_BungaSepatu,50,5.16
Ruang_Asoka,43,32.92
Ruang_NusaIndah,59,40.13
Ruang_Kantil,50,8.72
Ruang_Kecubung,51,39.45
Ruang_Soka,54,40.57
Ruang_Lotus,47,9.03
Ruang_Bluebell,56,43.77
Ruang_Daffodil,46,25.29
Ruang_Foxglove,35,15.61
Ruang_Hibiscus,60,15.35
Ruang_Lilac,31,5.54
Ruang_Narcissus,64,23.95
Ruang_Oleander,33,9.22
Ruang_Primrose,52,37.57
Ruang_Snapdragon,44,46.08
Ruang_Wisteria,34,36.96
Ruang_Yarrow,32,6.07
Ruang_Amaryllis,31,8.37
Ruang_Anemone,45,24.29
Ruang_Buttercup,42,40.0
Ruang_Carnation,31,10.34
Ruang_Delphinium,69,34.69
Ruang_Gladiol,39,10.33
Ruang_Heather,45,12.63
Ruang_Honeysuckle,38,31.27
Ruang_Impatiens,60,35.81
Ruang_Larkspur,37,17.04
Ruang_Mimosa,66,16.19
Ruang_Orchid,43,38.78
Ruang_Periwinkle,59,6.85
Ruang_QueenAnne,46,22.39
Ruang_Rhododendron,53,14.42
Ruang_Sunflower,40,47.39
Ruang_Tuberose,68,10.19
Ruang_Violet,68,21.4
Ruang_Wallflower,37,25.35
Ruang_Xeranthemum,40,43.15
Ruang_YuccaBloom,49,30.11
Ruang_Zephyranthes,36,29.96
Ruang_AcaciaBloom,67,25.94
Ruang_Balsam,31,38.55
Ruang_Coreopsis,49,20.78
Ruang_Echinacea,66,35.94
Ruang_ForgetMeNot,54,30.38
Ruang_Gazania,55,30.69
Ruang_Jacaranda,42,17.14
Ruang_Lantana,34,12.82
Ruang_MorningGlory,67,39.33
Ruang_Nemesia,70,8.0
Ruang_Oxalis,45,26.2
Ruang_Plumeria,36,33.8
Ruang_Statice,49,20.21
Ruang_Verbascum,68,19.05
Ruang_Waterlily,37,9.01
Ruang_ZebraPlant,66,34.31
Ruang_Melati,32,11.1
Ruang_Mawar,52,24.2
Ruang_Anggrek,64,7.43
Ruang_Tulip,57,9.86
Ruang_Matahari,53,49.71
Ruang_Lili,34,8.63
Ruang_Kamboja,62,6.39
Ruang_Kenanga,51,11.95
Ruang_Dahlia,30,12.37
Ruang_Teratai,56,9.27
Ruang_Flamboyan,61,29.98
Ruang_Kana,36,24.1
Ruang_Bougenvil,57,45.41
Ruang_Anyelir,53,25.02
Ruang_Krisan,70,30.79
Ruang_Lavender,59,19.13
Ruang_Sakura,39,24.21
Ruang_Azalea,57,38.9
Ruang_Gardenia,41,29.05
Ruang_Iris,63,24.27
Ruang_Peony,47,45.51
Ruang_Begonia,69,38.69
Ruang_Magnolia,64,5.36
Ruang_Camelia,60,23.8
Ruang_Zinnia,59,47.94
Ruang_Aster,57,25.23
Ruang_Jasmine,67,8.56
Ruang_Hydrangea,47,16.96
Ruang_Freesia,50,13.89
Ruang_Poppy,45,48.08
Ruang_Ranunculus,35,46.05
Ruang_Marigold,47,19.95
Ruang_Verbena,58,29.49
Ruang_Petunia,45,20.57
Ruang_Geranium,59,8.91
Ruang_Cosmos,66,21.13
Ruang_Edelweis,69,34.98
Ruang_Bromelia,54,19.66
Ruang_Heliconia,51,23.93
Ruang_Cempaka,31,19.53
Ruang_Wijayakusuma,61,38.05
Ruang_SedapMalam,50,48.44
Ruang_TapakDara,41,12.93
Ruang_PacarAir,61,34.67
Ruang_BungaSepatu,43,29.28
Ruang_Asoka,52,8.1
Ruang_NusaIndah,46,5.67
Ruang_Kantil,51,8.59
Ruang_Kecubung,47,8.47
Ruang_Soka,68,20.35
Ruang_Lotus,47,5.72
Ruang_Bluebell,65,24.35
Ruang_Daffodil,30,34.71
Ruang_Foxglove,63,42.84
Ruang_Hibiscus,42,43.57
Ruang_Lilac,35,5.88
Ruang_Narcissus,45,22.16
Ruang_Oleander,56,14.93
Ruang_Primrose,61,11.65
Ruang_Snapdragon,65,14.18
Ruang_Wisteria,45,23.41
Ruang_Yarrow,60,15.99
Ruang_Amaryllis,61,25.64
Ruang_Anemone,58,27.37
Ruang_Buttercup,31,39.46
Ruang_Carnation,35,7.0
Ruang_Delphinium,48,14.6
Ruang_Gladiol,44,12.37
Ruang_Heather,55,39.28
Ruang_Honeysuckle,45,29.96
Ruang_Impatiens,49,42.31
Ruang_Larkspur,67,6.76
Ruang_Mimosa,53,12.21
Ruang_Orchid,60,13.72
Ruang_Periwinkle,65,47.29
Ruang_QueenAnne,63,10.99
Ruang_Rhododendron,52,34.18
Ruang_Sunflower,57,42.51
Ruang_Tuberose,65,33.37
Ruang_Violet,51,27.39
Ruang_Wallflower,52,17.86
Ruang_Xeranthemum,59,25.7
Ruang_YuccaBloom,47,17.24
Ruang_Zephyranthes,49,7.05
Ruang_AcaciaBloom,46,42.53
Ruang_Balsam,44,37.5
Ruang_Coreopsis,37,17.16
Ruang_Echinacea,42,47.0
Ruang_ForgetMeNot,50,5.92
Ruang_Gazania,37,48.74
Ruang_Jacaranda,64,36.06
Ruang_Lantana,41,5.4
Ruang_MorningGlory,42,21.66
Ruang_Nemesia,43,47.24
Ruang_Oxalis,60,33.65
Ruang_Plumeria,47,44.4
Ruang_Statice,67,31.27
Ruang_Verbascum,63,8.14
Ruang_Waterlily,68,49.84
Ruang_ZebraPlant,48,12.42
Ruang_Melati,36,49.23
Ruang_Mawar,42,24.81
Ruang_Anggrek,48,10.39
Ruang_Tulip,44,44.9
Ruang_Matahari,53,7.88
Ruang_Lili,41,35.84
Ruang_Kamboja,49,48.45
Ruang_Kenanga,30,37.44
Ruang_Dahlia,64,12.32
Ruang_Teratai,38,47.91
Ruang_Flamboyan,47,43.43
Ruang_Kana,32,26.22
Ruang_Bougenvil,33,12.64
Ruang_Anyelir,65,12.58
Ruang_Krisan,48,19.89
Ruang_Lavender,38,12.71
Ruang_Sakura,70,25.24
Ruang_Azalea,61,10.87
Ruang_Gardenia,36,16.97
Ruang_Iris,30,6.75
Ruang_Peony,66,9.07
Ruang_Begonia,48,6.85
Ruang_Magnolia,60,18.64
Ruang_Camelia,60,11.18
Ruang_Zinnia,58,41.97
Ruang_Aster,51,32.62
Ruang_Jasmine,41,15.48
Ruang_Hydrangea,33,16.37
